timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,input_low,input_high,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T05:03:42,1,512,0,0.0,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.486328125,3.6392696,0.501953125,3.7813272
2026-05-19T05:03:53,1,512,1,9.9392454,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.533203125,3.3071425,0.53515625,3.3429618
2026-05-19T05:03:57,1,512,2,2.7356162,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.5390625,3.3043306,0.53515625,3.3889039
2026-05-19T05:04:00,1,512,3,2.6453643,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.529296875,3.4687,0.556640625,3.3331964
2026-05-19T05:04:04,1,512,4,2.6132428,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.556640625,3.3593895,0.556640625,3.4075236
2026-05-19T05:04:07,1,512,5,2.7801582,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.517578125,3.3958218,0.552734375,3.412182
2026-05-19T05:04:11,1,512,6,2.6368528,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.521484375,3.3588488,0.5625,3.4111037
2026-05-19T05:04:14,1,512,7,2.6861422,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.54296875,3.352483,0.56640625,3.4361095
2026-05-19T05:04:18,1,512,8,2.7684593,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.548828125,3.329146,0.541015625,3.401254
2026-05-19T05:04:21,1,512,9,2.7190668,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.54296875,3.4176815,0.5625,3.327173
2026-05-19T05:04:25,1,512,10,2.6178106,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.5390625,3.362435,0.529296875,3.3960986
2026-05-19T05:04:28,1,512,11,2.7473413,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.537109375,3.401577,0.54296875,3.4168406
2026-05-19T05:04:32,1,512,12,2.7933617,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.546875,3.4954548,0.560546875,3.4989326
2026-05-19T05:04:36,1,512,13,2.6579584,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.54296875,3.4074595,0.556640625,3.385034
2026-05-19T05:04:39,1,512,14,2.7561066,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.53125,3.432162,0.552734375,3.3803504
2026-05-19T05:04:43,1,512,15,2.7196278,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.529296875,3.3634853,0.564453125,3.3832104
2026-05-19T05:04:46,1,512,16,2.6311498,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.560546875,3.4367564,0.56640625,3.4896042
2026-05-19T05:04:50,1,512,17,2.898657,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.54296875,3.430338,0.5625,3.3592303
2026-05-19T05:04:54,1,512,18,2.7776094,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.5390625,3.4198081,0.5546875,3.4244285
2026-05-19T05:04:57,1,512,19,2.9090552,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.501953125,3.4611013,0.55859375,3.447496
2026-05-19T05:05:01,1,512,20,2.7533242,1044,2.0,2,0-1,0.2,-0.2,0.2,0.0,1.0,0.1,0.02,0.54296875,3.4270983,0.564453125,3.4761379
