timestamp,stage,workers,threads,hidden,output_replicas,batchsize,sweeps,order,relaxation_steps,graph_states,graph_edges,total_seconds,min_task_seconds,mean_task_seconds,max_task_seconds
2026-05-21T23:13:06,manual_field_update,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,1.1736331,1.1458885,1.1458885,1.1458885
2026-05-21T23:13:08,manual_field_update,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.1900571,0.0957999,0.15099893125000002,0.189762
2026-05-21T23:13:09,manual_field_update,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.3471096,0.0871199,0.28370644375000004,0.347076
2026-05-21T23:13:13,manual_prepost_update,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,2.3629251,2.3366485,2.3366485,2.3366485
2026-05-21T23:13:14,manual_prepost_update,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.2649695,0.2018145,0.2305237375,0.2649277
2026-05-21T23:13:16,manual_prepost_update,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.3795932,0.1711243,0.3123223499999999,0.3795562
2026-05-21T23:13:20,manual_prepost_noise,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,2.3984131,2.3712872,2.3712872,2.3712872
2026-05-21T23:13:21,manual_prepost_noise,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.277514,0.1934689,0.23241228125000002,0.2773535
2026-05-21T23:13:23,manual_prepost_noise,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.4531382,0.2389687,0.39501324374999996,0.4528577
2026-05-21T23:13:28,manual_prepost_noise_refresh,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,3.5431133,3.5154564,3.5154564,3.5154564
2026-05-21T23:13:29,manual_prepost_noise_refresh,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.4445227,0.3066928,0.39097806874999996,0.4444792
2026-05-21T23:13:31,manual_prepost_noise_refresh,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.7134459,0.2817558,0.5956744875,0.713408
2026-05-21T23:13:36,one_relax,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,3.4805812,3.455497,3.455497,3.455497
2026-05-21T23:13:38,one_relax,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.4446149,0.3312146,0.3938638125,0.4445705
2026-05-21T23:13:40,one_relax,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.7163722,0.2729898,0.604896353125,0.7163303
