mode,post_max_sweeps,noise_factor,noise_scale,draws,accuracy,equilibrated_fraction,mean_reward,mean_seconds,mean_sweeps,mean_energy_delta,mean_distance_from_base,mean_distance_from_previous,unique_signatures,unique_fraction
base,25.0,0.5,0.01581139,200,0.0,0.0,-2.5183264684677122,0.007825384999999997,25.0,-0.46280969858169557,0.042843750000000014,0.042843750000000014,191,0.955
base,25.0,1.0,0.03162278,200,0.0,0.0,-2.516449673771858,0.00100935,25.0,-0.4599106502532959,0.04340624999999999,0.04340624999999999,192,0.96
base,25.0,2.0,0.06324556,200,0.0,0.0,-2.522423214316368,0.0010650450000000001,25.0,-0.46266075611114504,0.04378124999999998,0.04378124999999998,192,0.96
base,25.0,4.0,0.12649111,200,0.0,0.005,-2.5182551383972167,0.0010040250000000004,24.955,-0.45202792406082154,0.045343749999999974,0.045343749999999974,199,0.995
base,50.0,0.5,0.01581139,200,0.0,0.0,-2.53924913585186,0.002052075,50.0,-0.7045596694946289,0.06549999999999999,0.06549999999999999,192,0.96
base,50.0,1.0,0.03162278,200,0.0,0.01,-2.541688802242279,0.0020217,49.93,-0.7055476522445678,0.06465624999999998,0.06465624999999998,196,0.98
base,50.0,2.0,0.06324556,200,0.0,0.0,-2.54854634642601,0.0020440300000000005,50.0,-0.708284137248993,0.06659375,0.06659375,193,0.965
base,50.0,4.0,0.12649111,200,0.0,0.14,-2.5351183795928955,0.001990925,48.505,-0.682185504436493,0.06506249999999997,0.06506249999999997,198,0.99
base,100.0,0.5,0.01581139,200,0.0,0.025,-2.5758378714323045,0.004068220000000001,99.39,-0.9764168906211853,0.09293749999999995,0.09293749999999995,191,0.955
base,100.0,1.0,0.03162278,200,0.0,0.03,-2.5670930689573286,0.004038555,98.765,-0.9724467015266418,0.09203124999999997,0.09203124999999997,195,0.975
base,100.0,2.0,0.06324556,200,0.0,0.11,-2.5686678045988085,0.004095425000000001,96.73,-0.966170494556427,0.09221874999999997,0.09221874999999997,195,0.975
base,100.0,4.0,0.12649111,200,0.0,0.47,-2.556546695232391,0.0032691000000000013,81.365,-0.8839758372306824,0.08287500000000002,0.08287500000000002,199,0.995
chain,25.0,0.5,0.01581139,200,0.0,0.005,-2.5648966598510743,0.0010306600000000007,24.955,-1.2719819617271424,0.1380625,0.010906250000000013,114,0.57
chain,25.0,1.0,0.03162278,200,0.0,0.0,-2.5477016174793246,0.0010294650000000005,25.0,-1.3864350128173828,0.16437499999999988,0.010687500000000011,55,0.275
chain,25.0,2.0,0.06324556,200,0.0,0.0,-2.5473274517059328,0.00106031,25.0,-1.4090221118927002,0.17143750000000024,0.009781250000000007,38,0.19
chain,25.0,4.0,0.12649111,200,0.0,0.035,-2.592421531677246,0.001065165,24.8,-1.4189087438583374,0.1734375000000001,0.01065625000000001,43,0.215
chain,50.0,0.5,0.01581139,200,0.0,0.0,-2.6138168239593504,0.0020287549999999984,50.0,-1.4391023635864257,0.17828124999999972,0.01050000000000001,38,0.19
chain,50.0,1.0,0.03162278,200,0.0,0.01,-2.620761421918869,0.0020260749999999996,49.815,-1.4453018641471862,0.17937499999999987,0.010406250000000011,35,0.175
chain,50.0,2.0,0.06324556,200,0.0,0.015,-2.6149196195602418,0.002048304999999999,49.725,-1.4481974935531616,0.17893749999999975,0.010375000000000013,31,0.155
chain,50.0,4.0,0.12649111,200,0.0,0.235,-2.609760581254959,0.0018740800000000004,45.385,-1.4533397459983826,0.18334374999999997,0.010468750000000006,34,0.17
chain,100.0,0.5,0.01581139,200,0.0,0.035,-2.6116081953048704,0.003995374999999999,98.375,-1.4649456191062926,0.18509375000000014,0.01065625000000001,29,0.145
chain,100.0,1.0,0.03162278,200,0.0,0.02,-2.610839786529541,0.003999845000000003,99.23,-1.4684129738807679,0.18562499999999957,0.010687500000000006,28,0.14
chain,100.0,2.0,0.06324556,200,0.0,0.05,-2.610990175008774,0.003971055000000002,97.865,-1.4690029191970826,0.18540624999999994,0.010031250000000007,23,0.115
chain,100.0,4.0,0.12649111,200,0.0,0.335,-2.6134099650382994,0.0033744199999999995,83.18,-1.4694735312461853,0.18668749999999976,0.01071875000000001,36,0.18
