front_position,graph_kind,left_edge_response,nn,output_response,repeat,right_edge_response,source_case,sweep,target_case,total_abs_hidden_response
0.0,initial,0.0,1,0.0,1,0.0,1,0,2,0.0
4.40743900601548,initial,-0.021649973560161014,1,-0.1399494849628884,1,-0.0038582754800257184,1,1,2,0.6404046838821069
0.0,initial,0.0,1,0.0,1,0.0,1,0,3,0.0
4.705410410543933,initial,-0.013061794177239405,1,-0.17435894246597128,1,-0.007553771379798069,1,1,3,0.6813534781976218
0.0,initial,0.0,1,0.0,1,0.0,1,0,4,0.0
4.159401109512056,initial,-0.10913167704834302,1,-0.09062554263671929,1,0.009698215134488038,1,1,4,0.6138930665556095
0.0,initial,0.0,1,0.0,1,0.0,2,0,1,0.0
4.357402207004979,initial,0.13125121746384116,1,0.06371897323759941,1,0.007330374172573893,2,1,1,0.7323232210683108
0.0,initial,0.0,1,0.0,1,0.0,2,0,3,0.0
4.430439227081563,initial,-0.0007219606221094046,1,0.24547416095338825,1,-0.017363068875972068,2,1,3,0.6976076572004238
0.0,initial,0.0,1,0.0,1,0.0,2,0,4,0.0
4.936463258215414,initial,0.011813124049888105,1,-0.1568144244634733,1,5.1582279151477645e-5,2,1,4,0.5593172930450128
0.0,initial,0.0,1,0.0,1,0.0,3,0,1,0.0
5.011465983230878,initial,0.0039503230801888195,1,0.031441307516149486,1,0.007516115439017819,3,1,1,0.6878273962021413
0.0,initial,0.0,1,0.0,1,0.0,3,0,2,0.0
4.436945067187123,initial,-0.027546210198291794,1,0.06042072555266459,1,0.02358644080531053,3,1,2,0.600400808617813
0.0,initial,0.0,1,0.0,1,0.0,3,0,4,0.0
4.399716401048724,initial,0.029766522580266547,1,0.11541795117520015,1,-0.04559988893051796,3,1,4,0.7467312176763392
0.0,initial,0.0,1,0.0,1,0.0,4,0,1,0.0
4.526827808424439,initial,0.02940576468608576,1,-0.20521829686341353,1,0.02115573421273185,4,1,1,0.648642713384719
0.0,initial,0.0,1,0.0,1,0.0,4,0,2,0.0
4.350741046184386,initial,-0.048675852514350075,1,-0.06981407484008362,1,0.026859569212364515,4,1,2,0.7458234118923499
0.0,initial,0.0,1,0.0,1,0.0,4,0,3,0.0
4.611118146759974,initial,0.029274763847399195,1,-0.0006783509169914215,1,0.008287691030955141,4,1,3,0.7243203962832406
0.0,learned,0.0,1,0.0,1,0.0,1,0,2,0.0
4.133198856701861,learned,0.0266037050333263,1,-0.11104978380243413,1,-0.016218785178510324,1,1,2,0.5725415013967007
0.0,learned,0.0,1,0.0,1,0.0,1,0,3,0.0
4.856676879945027,learned,-0.03902117322381654,1,-0.13554993580643948,1,-0.08532614012861472,1,1,3,0.670593534118076
0.0,learned,0.0,1,0.0,1,0.0,1,0,4,0.0
4.283494093962153,learned,-0.08277337828903439,1,-0.0074053831010107846,1,-0.030612774018719424,1,1,4,0.6368672603332347
0.0,learned,0.0,1,0.0,1,0.0,2,0,1,0.0
4.4942011498247,learned,-0.04775396121540965,1,0.01881358135556021,1,-0.04865874005403598,2,1,1,0.63063281083636
0.0,learned,0.0,1,0.0,1,0.0,2,0,3,0.0
4.291109509457037,learned,0.019366252465418336,1,0.06049853501502889,1,0.006939498853064257,2,1,3,0.6179893199462407
0.0,learned,0.0,1,0.0,1,0.0,2,0,4,0.0
4.548810628809425,learned,0.0037423381736883463,1,-0.04257525871080303,1,-0.052103434599193844,2,1,4,0.7010165032131671
0.0,learned,0.0,1,0.0,1,0.0,3,0,1,0.0
4.464275773730296,learned,0.011358314328056666,1,0.11664509685393587,1,0.03167655127358279,3,1,1,0.6559884127746739
0.0,learned,0.0,1,0.0,1,0.0,3,0,2,0.0
4.537608499601877,learned,-0.054113333749932796,1,-0.10578814992499169,1,0.03876729716750933,3,1,2,0.5633048857025724
0.0,learned,0.0,1,0.0,1,0.0,3,0,4,0.0
4.824392760547923,learned,-0.01292843048089724,1,-0.019739742009368233,1,-0.025795981319722,3,1,4,0.7797661956395895
0.0,learned,0.0,1,0.0,1,0.0,4,0,1,0.0
5.015922518527761,learned,0.033457012144339215,1,-0.044324835364721094,1,-0.017250413257476293,4,1,1,0.6239266913203798
0.0,learned,0.0,1,0.0,1,0.0,4,0,2,0.0
4.455761475489222,learned,0.010868260038228002,1,-0.0036705206420756115,1,-0.006884758792888877,4,1,2,0.5902921218554246
0.0,learned,0.0,1,0.0,1,0.0,4,0,3,0.0
4.634048687442938,learned,-0.031458147796084,1,-0.06692893810806533,1,-0.03090321481336183,4,1,3,0.624579325883371
