epoch,mse,accuracy,grad_norm,response_norm,param_delta,ff_margin,ff_std,ft_margin,ft_std,tf_margin,tf_std,tt_margin,tt_std
0,1.0216770736969167,0.75,0.0,0.0,0.0,-0.003816210569907774,0.5837048613289523,0.0407617318362099,0.5811742117082745,-0.0239818115709467,0.5737641993940888,-0.03473759064934834,0.586894320127224
1,1.020200563040953,0.75,2.9171992958979702,0.03086843361100114,0.31368731474582445,-0.00025308307876614755,0.5835503777951855,0.04836860200825188,0.5807419023842656,-0.024472653231070174,0.5725479941089574,-0.03238636548826612,0.5876706339136742
100,0.9427288907810588,0.75,3.9245376748748666,0.0637658479017666,4.064733507285972,-0.004203499438292235,0.5814773870877948,0.03923828047923883,0.581808632926733,-0.031111113229187692,0.5688381225020412,-0.03858759622360852,0.5860109123659057
200,0.8740989647375844,0.75,5.479381425583239,0.089874815710065,6.206522482836669,-0.0035312494013357565,0.5776949735056793,0.04265655527189072,0.5783371122037003,-0.022010078079738093,0.568624637943935,-0.03739218637985575,0.582431659581449
300,0.8261802803589048,0.75,5.920755858685741,0.11602196292653125,8.479900902653561,-0.005584966523520141,0.5732108352093844,0.03863690011441567,0.575390088081283,-0.023247323571014222,0.5634981509851589,-0.0366392428049761,0.5755159329772654
400,0.7839896631356237,0.75,7.744156125737361,0.14548774348889604,10.661549685635844,-0.015160519901121772,0.5694520259343606,0.033433059818114064,0.5716700599016008,-0.034763078940539094,0.5587093118408337,-0.04322416545451546,0.5730360207381708
500,0.7732628610329618,0.75,7.894645444242472,0.1738938279765217,12.1226030521906,-0.012641015444394776,0.56628562024843,0.03282888120196359,0.5690676543731007,-0.034638714860349085,0.555711776259438,-0.04322118836152111,0.5755798557134801
600,0.7572202222569857,0.75,8.575311198484624,0.18583656733759668,13.740333216238172,-0.016860800082424965,0.5628382370752206,0.02470553194036651,0.5706477971801593,-0.04076611540842756,0.55715785434944,-0.05083070949766755,0.5683121202043845
700,0.741233534737701,0.75,11.049257758661714,0.20499007712328088,14.977437172400426,-0.010442360804275852,0.5689419973385309,0.025563478312204402,0.5641270402563766,-0.03619297335866778,0.5482894775158456,-0.045616281018609706,0.5652610421795735
800,0.7280141624048118,0.75,12.585266199574795,0.2157515737000163,16.42151942891454,-0.015711957591801773,0.5512039990225639,0.030474264388145933,0.5606750311836652,-0.03102419462793582,0.5548677086326809,-0.04063571685482159,0.5592084498866642
900,0.7107448379630756,0.75,10.730940748951289,0.24273211179794657,17.10450465787299,-0.002846947103261943,0.5536414040301187,0.03521833670547425,0.5607322595427995,-0.025969582788048173,0.54557974512636,-0.032097942159330706,0.5660484523788701
1000,0.7098200133902066,0.75,11.689664773363608,0.23027241281502908,17.710760144601167,-0.0076131761920882335,0.5513855871290778,0.040683810298137835,0.5596649950601292,-0.024666427477181174,0.548058082286701,-0.039826529346911554,0.5610215209409946
