fullsweeps,meanabs,frac_09,frac_099,frac_mid,dH_rms,residual_rms,energy,readout_abs,acceptance_rate
0,0.446845713981,0.0875,0.01875,0.56875,0.605700986177,0.510642403952,0.311990551531,0.418693861319,0
100,0.499369498769,0.20625,0.13125,0.5125,0.616291719011,0.374362287321,-3.3391719854,0.461544404872,0.125
200,0.521858421916,0.225,0.1625,0.4875,0.633239272237,0.359854969751,-3.9660506431,0.461694861886,0.125
300,0.536800640087,0.2375,0.16875,0.46875,0.642705137297,0.348202224362,-4.24181717178,0.462529119754,0
400,0.547329514651,0.25,0.18125,0.45625,0.646202519962,0.344706995177,-4.37158693246,0.458298683447,0
500,0.55370662168,0.25625,0.19375,0.45,0.649099924104,0.343154078138,-4.44666856287,0.454600322693,0
600,0.558038744828,0.25625,0.19375,0.45,0.651903756974,0.343135868727,-4.50106139233,0.455955647277,0
700,0.56068036406,0.2625,0.2,0.44375,0.653628455364,0.343838637901,-4.53353214202,0.457309693791,0
800,0.561258728412,0.2625,0.2,0.44375,0.654206565997,0.343706404376,-4.54221802617,0.457654928628,0
900,0.561424803737,0.2625,0.2,0.44375,0.654398330215,0.343633300268,-4.54420925694,0.457858532678,0
1000,0.561421361453,0.2625,0.2,0.44375,0.654405492003,0.343430073872,-4.5474631907,0.458139444428,0
1100,0.561421361453,0.2625,0.2,0.44375,0.654405492003,0.343430073872,-4.5474631907,0.458139444428,0
1200,0.561607201327,0.2625,0.2,0.44375,0.654654919699,0.343331936268,-4.54990109849,0.458338369764,0.125
1300,0.561849717957,0.2625,0.2,0.44375,0.655000406935,0.343167368541,-4.553429411,0.458394799181,0
1400,0.561849717957,0.2625,0.2,0.44375,0.655000406935,0.343167368541,-4.553429411,0.458394799181,0
1500,0.561796550293,0.2625,0.2,0.44375,0.654993291336,0.342977909624,-4.55700212939,0.458394799181,0
1600,0.561881870428,0.26875,0.2,0.44375,0.654939171289,0.342803151923,-4.55884884207,0.458181876062,0
1700,0.562049853917,0.26875,0.2,0.44375,0.655193021644,0.342518092463,-4.56318262944,0.458375139325,0
1800,0.561978576227,0.26875,0.2,0.44375,0.655184661231,0.342373647586,-4.5663615916,0.458375139325,0
1900,0.562092133369,0.26875,0.2,0.44375,0.655440895157,0.341912372123,-4.57411587422,0.458685697059,0
2000,0.562288541163,0.26875,0.2,0.4375,0.655665581683,0.341633086472,-4.57822292383,0.458715221957,0
